,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31444,REUIL EN BRIE,77260,48.9565680166,3.16343930327,77,0
31445,LA ROCHETTE,77000,48.5068460173,2.65955941883,77,0
31446,ROISSY EN BRIE,77680,48.7900855424,2.66122415764,77,0
31447,ROUILLY,77160,48.5914740007,3.28881979874,77,1
31448,ROUVRES,77230,49.0637945293,2.71838722882,77,0
31449,ROZAY EN BRIE,77540,48.6835473801,2.96386164436,77,0
31450,RUBELLES,77950,48.5646424027,2.68024008996,77,0
31451,RUMONT,77760,48.2703586481,2.4951176944,77,1
31452,RUPEREUX,77560,48.6426005299,3.32681043883,77,0
31453,SAACY SUR MARNE,77730,48.9510388059,3.21708919555,77,0
31454,SABLONNIERES,77510,48.8758526374,3.29342847866,77,0
31455,ST ANGE LE VIEL,77710,48.2723686746,2.90471445471,77,0
31456,ST AUGUSTIN,77515,48.789144962,3.02887733096,77,0
31457,STE AULDE,77260,49.0030713082,3.1746031904,77,0
31458,ST BARTHELEMY,77320,48.8198934361,3.364501575,77,1
31459,ST BRICE,77160,48.5723421342,3.33441347649,77,0
31460,STE COLOMBE,77650,48.5343555436,3.25919071204,77,0
31461,ST CYR SUR MORIN,77750,48.9119288243,3.17472722013,77,0
31462,ST DENIS LES REBAIS,77510,48.845087486,3.19932466379,77,0
31463,ST FARGEAU PONTHIERRY,77310,48.5390914714,2.52499710746,77,1
31464,ST FIACRE,77470,48.9247152564,2.95384065653,77,0
31465,ST GERMAIN LAVAL,77130,48.4089652816,2.99481722359,77,0
31466,ST GERMAIN LAXIS,77950,48.5862771914,2.70637166512,77,0
31467,ST GERMAIN SOUS DOUE,77169,48.8511027251,3.13894203561,77,0
31468,ST GERMAIN SUR ECOLE,77930,48.4743072486,2.51078189836,77,0
31469,ST GERMAIN SUR MORIN,77860,48.8752580652,2.84028985019,77,0
31470,ST HILLIERS,77160,48.6289146411,3.25823552684,77,1
31471,ST JEAN LES DEUX JUMEAUX,77660,48.9387834694,3.02695540228,77,0
31472,ST JUST EN BRIE,77370,48.6110276431,3.12128070176,77,0
31473,ST LEGER,77510,48.8435888825,3.27123408518,77,0
31474,ST LOUP DE NAUD,77650,48.5369790408,3.21790168625,77,0
31475,ST MAMMES,77670,48.3867865582,2.81899706389,77,0
31476,ST MARD,77230,49.0387495499,2.69702650217,77,0
31477,ST MARS VIEUX MAISONS,77320,48.7382088381,3.3197504668,77,0
31478,ST MARTIN DES CHAMPS,77320,48.7883444526,3.33427084633,77,0
31479,ST MARTIN DU BOSCHET,77320,48.7323588994,3.42880146544,77,0
31480,ST MARTIN EN BIERE,77630,48.4342403607,2.57483458282,77,0
31481,ST MERY,77720,48.570308165,2.83791524459,77,1
31482,ST MESMES,77410,48.9856128069,2.71476494573,77,0
31483,ST OUEN EN BRIE,77720,48.56560984,2.9198513048,77,0
31484,ST OUEN SUR MORIN,77750,48.9068261671,3.20190542412,77,0
31485,ST PATHUS,77178,49.0737570585,2.78794221143,77,0
31486,ST PIERRE LES NEMOURS,77140,48.2646880491,2.66647381403,77,0
31487,ST REMY LA VANNE,77320,48.8125459558,3.24204081614,77,0
31488,SAINTS,77120,48.7643724711,3.05922570921,77,0
31489,ST SAUVEUR LES BRAY,77480,48.4379889484,3.20463281198,77,1
31490,ST SAUVEUR SUR ECOLE,77930,48.4997072373,2.53411876201,77,0
31491,ST SIMEON,77169,48.8045983956,3.19433416433,77,0
31492,ST SOUPPLETS,77165,49.0367930626,2.80251354691,77,0
31493,ST THIBAULT DES VIGNES,77400,48.8637030584,2.67576810808,77,0
31494,SALINS,77148,48.4316639187,3.0194177211,77,0
31495,SAMMERON,77260,48.9415743758,3.07701664102,77,0
31496,SAMOIS SUR SEINE,77920,48.4550515717,2.75291155262,77,0
31497,SAMOREAU,77210,48.4200104372,2.76978734105,77,0
31498,SANCY,77580,48.8791674631,2.96108511605,77,1
31499,SANCY LES PROVINS,77320,48.7095987707,3.39288392593,77,0
