nom_commune_postal;code_postal;latitude;longitude;code_departement
MONTCEAUX;1090;46.0962893261;4.80453564172;1
MONTCET;1310;46.219333227;5.11149132074;1
LE MONTELLIER;1800;45.9287482486;5.07092815964;1
MONTHIEUX;1390;45.9622791838;4.94555984534;1
MONTLUEL;1120;45.8909006209;5.01987566185;1
MONTMERLE SUR SAONE;1090;46.0849573236;4.7608579486;1
MONTRACOL;1310;46.1867200301;5.11706011755;1
MONTREAL LA CLUSE;1460;46.1795688194;5.59510550127;1
MONTREVEL EN BRESSE;1340;46.3252811442;5.11295966315;1
NURIEUX VOLOGNAT;1460;46.1830720992;5.51435812316;1
MURS ET GELIGNIEUX;1300;45.6420014274;5.66039684889;1
NANTUA;1130;46.1537845403;5.61352793799;1
NANTUA;1460;46.1537845403;5.61352793799;1
NEUVILLE LES DAMES;1400;46.1567753049;5.00942432434;1
NEUVILLE SUR AIN;1160;46.0909654813;5.37349784691;1
LES NEYROLLES;1130;46.1342937114;5.63714517869;1
NEYRON;1700;45.8184192468;4.9309045685;1
NIEVROZ;1120;45.8222941077;5.05949629195;1
NIVOLLET MONTGRIFFON;1230;45.9999448244;5.45847815374;1
ONCIEU;1230;45.9651165469;5.47146617499;1
ORDONNAZ;1510;45.8339690378;5.5395794296;1
ORNEX;1210;46.2774557513;6.09454723599;1
OUTRIAZ;1430;46.067796636;5.55697547429;1
OYONNAX;1100;46.2605435859;5.65344320923;1
OZAN;1190;46.3867168877;4.91805840196;1
PARCIEUX;1600;45.9184267932;4.82747423402;1
PARVES ET NATTAGES;1300;45.7437340183;5.73800737134;1
PERON;1630;46.1913554154;5.91968751164;1
PERONNAS;1960;46.1711903413;5.21802169564;1
PEROUGES;1800;45.8803945768;5.17955874977;1
PERREX;1540;46.2465065604;4.97464940331;1
PEYRIAT;1430;46.1498184067;5.50572312284;1
PEYRIEU;1300;45.6762428663;5.67912809192;1
PEYZIEUX SUR SAONE;1140;46.1226331853;4.82243226719;1
PIRAJOUX;1270;46.385801285;5.27417594024;1
PIZAY;1120;45.8928509581;5.08915465965;1
PLAGNE;1130;46.1883038423;5.71763811249;1
LE PLANTAY;1330;46.0230264227;5.08912046926;1
POLLIAT;1310;46.2463108642;5.13794412439;1
POLLIEU;1350;45.7965373468;5.74794515549;1
PONCIN;1450;46.089530586;5.41681266947;1
PONT D AIN;1160;46.0542077091;5.34703652618;1
PONT DE VAUX;1190;46.4422864477;4.92862459427;1
PONT DE VEYLE;1290;46.2637215091;4.88186068102;1
PORT;1460;46.155963139;5.57615832883;1
POUGNY;1550;46.1450914685;5.95100479291;1
POUILLAT;1250;46.3219301481;5.42318000482;1
PREMEYZEL;1300;45.6806263123;5.64396081449;1
PREMILLIEU;1110;45.876457149;5.56475010385;1
PREVESSIN MOENS;1280;46.25827228;6.07223251859;1
PRIAY;1160;46.0197521486;5.28523353803;1
PUGIEU;1510;45.8176794806;5.64970405499;1
RAMASSE;1250;46.1905550894;5.35572056985;1
RANCE;1390;45.9673905154;4.86343025951;1
RELEVANT;1990;46.0843657897;4.94176845356;1
REPLONGES;1750;46.3077356023;4.8746938271;1
REVONNAS;1250;46.1615355815;5.33543916388;1
REYRIEUX;1600;45.9367652442;4.82840395968;1
REYSSOUZE;1190;46.4285569061;4.91285056272;1
RIGNIEUX LE FRANC;1800;45.9518762734;5.16936671105;1
ROMANS;1400;46.1237520756;5.0217131176;1
ROSSILLON;1510;45.8363854589;5.59926863007;1
RUFFIEU;1260;46.0037108867;5.65322391497;1
ST ALBAN;1450;46.0983335519;5.45573839846;1
ST ANDRE DE BAGE;1380;46.298541568;4.91411565769;1
ST ANDRE DE CORCY;1390;45.927001954;4.95373324492;1
ST ANDRE D HUIRIAT;1290;46.2140960915;4.91291358797;1
ST ANDRE LE BOUCHOUX;1240;46.1131399612;5.0802376895;1
ST ANDRE SUR VIEUX JONC;1960;46.1492410532;5.14175200148;1
ST BENIGNE;1190;46.4519173207;4.95309825903;1
GROSLEE ST BENOIT;1300;45.6891842277;5.5843972561;1
GROSLEE ST BENOIT;1680;45.6891842277;5.5843972561;1
ST BERNARD;1600;45.9493830581;4.74276628471;1
ST CHAMP;1300;45.7825741014;5.7326531461;1
STE CROIX;1120;45.895522477;5.04935536228;1
ST CYR SUR MENTHON;1380;46.2754005606;4.96757105158;1
ST DENIS LES BOURG;1000;46.2111998453;5.18462806771;1
ST DENIS EN BUGEY;1500;45.9488551151;5.32367701698;1
ST DIDIER D AUSSIAT;1340;46.3069992095;5.05820697692;1
ST DIDIER DE FORMANS;1600;45.9564926067;4.77766764875;1
ST DIDIER SUR CHALARONNE;1140;46.1840408682;4.81645666173;1
ST ELOI;1800;45.9322494861;5.15187041178;1
ST ETIENNE DU BOIS;1370;46.2749447261;5.28428557632;1
ST ETIENNE SUR CHALARONNE;1140;46.1468059584;4.86696454244;1
ST ETIENNE SUR REYSSOUZE;1190;46.4030398952;5.00605581573;1
STE EUPHEMIE;1600;45.9669798317;4.79478189169;1
ST GENIS POUILLY;1630;46.254539333;6.0362907345;1
ST GENIS SUR MENTHON;1380;46.2815955593;5.01311826405;1
ST GEORGES SUR RENON;1400;46.1037951263;5.03001967494;1
ST GERMAIN DE JOUX;1130;46.1821955394;5.74672259773;1
ST GERMAIN LES PAROISSES;1300;45.7709749249;5.61753440834;1
ST GERMAIN SUR RENON;1240;46.0797285417;5.06090903982;1
ST JEAN DE GONVILLE;1630;46.2178585727;5.94203093769;1
ST JEAN DE NIOST;1800;45.8405002569;5.21167430462;1
